0 2 8536  
1 4 35033  
2 8 54561 53079 
3 8 80229 158993 
4 8 96497 291381 
5 8 96373 436024 
6 8 96716 583344 
7 8 93985 731069 
8 8 105943 860117 
9 8 105314 1001213 
10 8 105510 1141459 
11 8 120813 1268535 
12 8 121112 1411511 
13 8 121172 1552914 
14 6 108528 1685883 
15 10 177147 1749410 
16 8 216926 1855550 
17 8 273333 1927129 
18 12 323374 1961741 45461
19 12 386574 2026428 52107
20 9 368540 2157701 52107
21 15 450798 2213439 52107
22 12 605231 2213439 52107
23 12 687528 2274192 52107
24 12 731941 2371765 52107
25 12 842083 2402013 52107
26 9 876317 2491409 52107
27 15 898580 2609323 52107
28 12 916882 2753943 52107
29 9 956719 2857131 52107
30 12 1084653 2868061 52107
31 15 1273483 2868061 52107
32 12 1465432 2868061 52107
33 12 1619617 2868061 52107
34 12 1711139 2937589 52107
35 9 1730288 3069912 52107
36 12 1764275 3154606 83739
37 15 1900974 3187607 100343
38 12 1940587 3317544 100343
39 12 1959524 3443731 100343
40 12 1982429 3571217 100343
41 9 2002192 3682964 100343
42 15 2024607 3807938 100343
43 9 2053101 3926042 100343
44 12 2074124 4033234 100343
45 15 2107619 4171201 100343
46 12 2173538 4285948 100343
47 12 2318752 4294497 100343
48 12 2461849 4294497 100343
49 12 2621442 4294497 100343
50 12 2774070 4294497 100343
51 12 2920001 4294497 100343
52 9 3044306 4294497 100343
53 12 3177274 4294497 100343
54 15 3349984 4294497 100343
55 12 3426043 4294585 191108
56 12 3417780 4294687 351476
57 12 3416063 4294757 511782
58 12 3420675 4294841 672493
59 12 3427635 4294899 826424
60 9 3535298 4294856 865537
61 15 3666364 4326273 865537
62 9 3700190 4443682 865537
63 15 3723607 4571673 865537
64 12 3742494 4709631 865537
65 12 3761641 4831498 865537
66 12 3787223 4951988 865537
67 12 3806522 5073885 865537
68 12 3826126 5197252 865537
69 9 3847572 5304237 865537
70 15 3874708 5426430 865537
71 12 3910288 5563014 865537
72 12 3932589 5686413 865537
73 12 3952638 5810131 865537
74 12 3970823 5933651 865537
75 12 3990301 6057388 865537
76 12 4005446 6184849 865537
77 12 4018446 6313615 865537
78 12 4032259 6440136 865537
79 12 4136946 6484410 865537
80 12 4284411 6484410 865537
81 12 4435175 6484410 865537
82 12 4582847 6484410 865537
83 9 4721001 6484410 865537
84 12 4848743 6484410 865537
85 15 5003184 6484410 865537
86 12 5163507 6484410 865537
87 12 5303239 6484410 865537
88 9 5424898 6484410 865537
89 12 5549487 6484410 865537
90 15 5707941 6484410 865537
91 9 5847287 6484410 865537
92 15 5991347 6484410 865537
93 12 6157523 6484410 865537
94 9 6264426 6484471 898165
95 15 6273297 6484604 1033902
96 12 6284220 6484710 1187799
97 12 6304216 6484782 1323532
98 12 6325173 6484851 1469911
99 12 6343970 6484930 1619540
100 12 6345402 6485004 1770530
101 12 6342368 6485060 1921438
102 12 6343450 6485134 2075658
103 12 6370428 6485203 2223274
104 12 6425775 6485034 2342290
105 12 6559943 6519521 2350674
106 9 6603239 6624590 2350674
107 15 6650291 6747659 2350674
108 12 6703177 6885281 2350674
109 9 6744227 6994357 2350674
110 15 6781155 7118057 2350674
111 12 6814440 7255639 2350674
112 12 6843531 7378379 2350674
113 12 6884281 7501734 2350674
114 9 6911038 7609173 2350674
115 15 6937814 7732557 2350674
116 12 6969851 7872097 2350674
117 12 7000123 7994179 2350674
118 12 7046752 8117085 2350674
119 12 7085756 8240660 2350674
120 12 7124862 8367499 2350674
121 12 7142412 8494937 2350674
122 9 7157143 8607593 2350674
123 15 7172846 8734383 2350674
124 12 7189114 8879645 2350674
125 12 7205674 9007043 2350674
126 12 7230953 9136078 2350674
127 12 7249202 9265973 2350674
128 12 7261854 9390884 2350674
129 12 7275916 9515179 2350674
130 9 7295166 9622536 2350674
131 15 7338387 9745840 2350674
132 9 7376615 9866917 2350674
133 12 7398572 9975255 2350674
134 15 7428618 10115478 2350674
