0 3 720 16657 
1 8 62552 55452 
2 10 99753 194253 
3 6 87238 358499 
4 10 107726 489138 
5 8 101866 665295 
6 6 88952 815310 
7 8 114569 918811 
8 8 113114 1067975 
9 8 111263 1214989 
10 8 126100 1344735 
11 10 139059 1511096 
12 6 239317 1580186 
13 8 338373 1625892 
14 8 358170 1762777 
15 8 487299 1778324 
16 15 552024 1780372 95887
17 9 602633 1842048 128508
18 15 619812 1964714 128508
19 12 644364 2098971 128508
20 12 742433 2138666 128508
21 12 882460 2138666 128508
22 9 1009743 2138666 128508
23 12 1109202 2166655 128508
24 15 1126214 2309139 128508
25 12 1216984 2380570 128508
26 9 1290519 2431632 128508
27 12 1306692 2539974 128508
28 12 1330805 2661297 128508
29 15 1368985 2797700 128508
30 9 1389321 2920601 128508
31 15 1415304 3043780 128508
32 12 1491358 3140025 128508
33 9 1614798 3142698 128508
34 12 1742458 3142698 128508
35 15 1924250 3142698 128508
36 12 2106786 3142698 128508
37 12 2258666 3142698 128508
38 12 2391637 3142706 136371
39 9 2423037 3142821 228692
40 12 2450946 3142957 336110
41 12 2469154 3143081 466107
42 12 2478710 3147058 594537
43 12 2540476 3196072 631032
44 12 2575867 3312265 631032
45 12 2622550 3428427 631032
46 12 2661688 3546918 631032
47 12 2700367 3664900 631032
48 12 2737699 3784213 631032
49 12 2770961 3903650 631032
50 12 2806841 4022494 631032
51 12 2831511 4143201 631032
52 12 2851442 4263340 631032
53 15 2878343 4396643 631032
54 12 2913850 4531301 631032
55 12 2954897 4644544 631032
56 9 3065299 4671183 631032
57 12 3195895 4671183 631032
58 15 3353859 4671183 631032
59 9 3513038 4671183 631032
60 15 3665873 4671183 631032
61 9 3811818 4671183 631032
62 15 3954440 4671183 631032
63 9 4095694 4671183 631032
64 15 4243233 4671183 631032
65 9 4393554 4671183 631032
66 12 4525478 4671183 631032
67 12 4651244 4671200 643283
68 15 4685952 4671341 769263
69 12 4702509 4671462 915219
70 12 4725912 4671569 1041562
71 12 4754099 4671638 1168477
72 9 4782261 4671698 1274729
73 15 4813187 4671775 1399478
74 12 4846573 4671840 1541891
75 9 4881611 4671844 1641633
76 12 5014651 4671741 1652420
77 12 5134808 4709808 1652420
78 15 5163397 4843779 1652420
79 9 5182290 4964943 1652420
80 12 5199855 5070604 1652420
81 15 5224843 5213224 1652420
82 12 5241548 5356715 1652420
83 12 5259693 5484245 1652420
84 9 5279395 5596568 1652420
85 15 5297646 5720199 1652420
86 9 5321349 5843049 1652420
87 15 5352097 5963650 1652420
88 12 5389149 6099725 1652420
89 9 5413806 6206718 1652420
90 15 5436224 6327796 1652420
91 9 5458840 6448968 1652420
92 12 5478716 6556367 1652420
93 12 5501066 6677205 1652420
94 15 5518901 6815316 1652420
95 12 5535968 6954421 1652420
96 12 5552785 7077129 1652420
97 9 5566581 7182180 1652420
