pgbench: setting random seed to 0
pgbench (18devel)
progress: 1727268679.476 s, 725.8 tps, lat 11.000 ms stddev 2.223, 0 failed
progress: 1727268684.476 s, 450.6 tps, lat 17.729 ms stddev 1.890, 0 failed
progress: 1727268689.476 s, 356.4 tps, lat 22.491 ms stddev 4.838, 0 failed
progress: 1727268694.476 s, 1127.0 tps, lat 7.100 ms stddev 1.157, 0 failed
progress: 1727268699.476 s, 1158.6 tps, lat 6.902 ms stddev 1.083, 0 failed
progress: 1727268704.476 s, 1241.2 tps, lat 6.441 ms stddev 0.924, 0 failed
progress: 1727268709.476 s, 1032.4 tps, lat 7.757 ms stddev 6.833, 0 failed
progress: 1727268714.476 s, 1079.6 tps, lat 7.403 ms stddev 1.209, 0 failed
progress: 1727268719.476 s, 1120.2 tps, lat 7.142 ms stddev 1.038, 0 failed
progress: 1727268724.476 s, 1139.8 tps, lat 7.019 ms stddev 1.050, 0 failed
progress: 1727268729.476 s, 1157.2 tps, lat 6.912 ms stddev 1.095, 0 failed
progress: 1727268734.476 s, 1081.4 tps, lat 7.394 ms stddev 1.242, 0 failed
progress: 1727268739.476 s, 1141.6 tps, lat 7.017 ms stddev 0.971, 0 failed
progress: 1727268744.476 s, 1048.6 tps, lat 7.625 ms stddev 6.656, 0 failed
progress: 1727268749.476 s, 1186.0 tps, lat 6.743 ms stddev 0.995, 0 failed
progress: 1727268754.476 s, 1150.8 tps, lat 6.954 ms stddev 1.030, 0 failed
progress: 1727268759.476 s, 1129.0 tps, lat 7.081 ms stddev 1.071, 0 failed
progress: 1727268764.476 s, 1132.2 tps, lat 7.069 ms stddev 1.054, 0 failed
progress: 1727268769.476 s, 1074.2 tps, lat 7.449 ms stddev 2.876, 0 failed
progress: 1727268774.476 s, 1022.4 tps, lat 7.817 ms stddev 4.072, 0 failed
progress: 1727268779.476 s, 1074.2 tps, lat 7.450 ms stddev 1.289, 0 failed
progress: 1727268784.476 s, 1120.8 tps, lat 7.133 ms stddev 1.130, 0 failed
progress: 1727268789.476 s, 1129.8 tps, lat 7.083 ms stddev 1.013, 0 failed
progress: 1727268794.476 s, 1118.4 tps, lat 7.154 ms stddev 1.137, 0 failed
progress: 1727268799.476 s, 1026.2 tps, lat 7.796 ms stddev 4.347, 0 failed
progress: 1727268804.476 s, 1024.6 tps, lat 7.806 ms stddev 4.933, 0 failed
progress: 1727268809.476 s, 1141.6 tps, lat 7.004 ms stddev 1.155, 0 failed
progress: 1727268814.476 s, 1128.8 tps, lat 7.084 ms stddev 1.109, 0 failed
progress: 1727268819.476 s, 1075.0 tps, lat 7.442 ms stddev 3.734, 0 failed
progress: 1727268824.476 s, 1164.6 tps, lat 6.875 ms stddev 1.080, 0 failed
progress: 1727268829.476 s, 1137.4 tps, lat 7.033 ms stddev 0.986, 0 failed
progress: 1727268834.476 s, 1012.4 tps, lat 7.898 ms stddev 3.518, 0 failed
progress: 1727268839.476 s, 944.4 tps, lat 8.473 ms stddev 6.924, 0 failed
progress: 1727268844.476 s, 1104.6 tps, lat 7.240 ms stddev 1.249, 0 failed
progress: 1727268849.476 s, 1101.8 tps, lat 7.258 ms stddev 4.005, 0 failed
progress: 1727268854.476 s, 1144.6 tps, lat 6.992 ms stddev 1.144, 0 failed
progress: 1727268859.476 s, 1109.2 tps, lat 7.210 ms stddev 1.196, 0 failed
progress: 1727268864.476 s, 1146.6 tps, lat 6.978 ms stddev 1.445, 0 failed
progress: 1727268869.476 s, 930.6 tps, lat 8.583 ms stddev 7.570, 0 failed
progress: 1727268874.476 s, 1002.2 tps, lat 7.993 ms stddev 4.047, 0 failed
progress: 1727268879.476 s, 1129.6 tps, lat 7.082 ms stddev 1.088, 0 failed
progress: 1727268884.476 s, 1122.6 tps, lat 7.125 ms stddev 1.066, 0 failed
progress: 1727268889.476 s, 1107.6 tps, lat 7.225 ms stddev 1.106, 0 failed
progress: 1727268894.476 s, 1073.4 tps, lat 7.449 ms stddev 1.227, 0 failed
progress: 1727268899.476 s, 1074.8 tps, lat 7.443 ms stddev 1.234, 0 failed
progress: 1727268904.476 s, 850.4 tps, lat 9.402 ms stddev 7.438, 0 failed
progress: 1727268909.476 s, 1088.8 tps, lat 7.350 ms stddev 1.172, 0 failed
progress: 1727268914.476 s, 1059.4 tps, lat 7.552 ms stddev 2.520, 0 failed
progress: 1727268919.476 s, 978.4 tps, lat 8.172 ms stddev 5.620, 0 failed
progress: 1727268924.476 s, 1124.8 tps, lat 7.115 ms stddev 1.107, 0 failed
