NOTICE:  table "hottail" does not exist, skipping
DROP TABLE
CREATE TABLE
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE EXTENSION
CREATE EXTENSION
1727268674 pages; 3  page_time: 0.33333333333333333333

1727268675 pages; 2177  page_time: 0.00048828125000000000

1727268676 pages; 4076  page_time: 0.00048828125000000000

1727268677 pages; 5836  page_time: 0.00048828125000000000

1727268678 pages; 7321  page_time: 0.00048828125000000000

1727268679 pages; 8716  page_time: 0.00048828125000000000

1727268680 pages; 9901  page_time: 0.00048828125000000000

1727268681 pages; 11071  page_time: 0.00048828125000000000

1727268682 pages; 12149  page_time: 0.00048828125000000000

1727268683 pages; 13159  page_time: 0.00048828125000000000

1727268684 pages; 14115  page_time: 0.00048828125000000000

1727268685 pages; 14999  page_time: 0.00048828125000000000

1727268686 pages; 15837  page_time: 0.00048828125000000000

1727268687 pages; 16638  page_time: 0.00048828125000000000

1727268688 pages; 17385  page_time: 0.00048828125000000000

1727268689 pages; 19155  page_time: 0.00048828125000000000

1727268690 pages; 21823  page_time: 0.00048828125000000000

1727268691 pages; 24577  page_time: 0.00048828125000000000

1727268692 pages; 27293  page_time: 0.00048828125000000000

1727268694 pages; 29943  page_time: 0.00048828125000000000

1727268695 pages; 32917  page_time: 0.00048828125000000000

1727268696 pages; 35623  page_time: 0.00048828125000000000

1727268697 pages; 38412  page_time: 0.00048828125000000000

1727268698 pages; 41045  page_time: 0.00048828125000000000

1727268699 pages; 43963  page_time: 0.00048828125000000000

1727268700 pages; 46833  page_time: 0.00048828125000000000

1727268701 pages; 49533  page_time: 0.00048828125000000000

1727268702 pages; 52562  page_time: 0.00048828125000000000

1727268703 pages; 55783  page_time: 0.00048828125000000000

1727268704 pages; 58898  page_time: 0.00048828125000000000

1727268705 pages; 62016  page_time: 0.00048828125000000000

1727268706 pages; 65321  page_time: 0.00048828125000000000

1727268707 pages; 68194  page_time: 0.00048828125000000000

1727268708 pages; 70109  page_time: 0.00048828125000000000

1727268709 pages; 71438  page_time: 0.00048828125000000000

1727268710 pages; 74054  page_time: 0.00048828125000000000

1727268711 pages; 76605  page_time: 0.00048828125000000000

1727268712 pages; 79155  page_time: 0.00048828125000000000

1727268713 pages; 81788  page_time: 0.00048828125000000000

1727268714 pages; 84496  page_time: 0.00048828125000000000

1727268715 pages; 87156  page_time: 0.00048828125000000000

1727268716 pages; 89743  page_time: 0.00048828125000000000

1727268717 pages; 92461  page_time: 0.00048828125000000000

1727268718 pages; 95258  page_time: 0.00048828125000000000

1727268719 pages; 97996  page_time: 0.00048828125000000000

1727268720 pages; 100699  page_time: 0.00048828125000000000

1727268721 pages; 103458  page_time: 0.00048828125000000000

1727268722 pages; 106227  page_time: 0.00048828125000000000

1727268723 pages; 108970  page_time: 0.00048828125000000000

1727268724 pages; 111778  page_time: 0.00048828125000000000

1727268725 pages; 114623  page_time: 0.00048828125000000000

1727268726 pages; 117442  page_time: 0.00048828125000000000

1727268727 pages; 120215  page_time: 0.00048828125000000000

1727268728 pages; 122892  page_time: 0.00048828125000000000

1727268729 pages; 125663  page_time: 0.00048828125000000000

1727268730 pages; 128243  page_time: 0.00048828125000000000

1727268731 pages; 130859  page_time: 0.00048828125000000000

1727268733 pages; 133485  page_time: 0.00048828125000000000

1727268734 pages; 136066  page_time: 0.00048828125000000000

1727268735 pages; 138737  page_time: 0.00048828125000000000

1727268736 pages; 141442  page_time: 0.00048828125000000000

1727268737 pages; 144191  page_time: 0.00048828125000000000

1727268738 pages; 146995  page_time: 0.00048828125000000000

1727268739 pages; 149763  page_time: 0.00048828125000000000

1727268740 pages; 151437  page_time: 0.00048828125000000000

