0 2 10654  
1 4 19826  
2 7 36656 26241 
3 8 55266 107067 
4 14 61089 185048 37574
5 9 50773 279998 44191
6 12 63973 356589 44191
7 12 65925 459981 48772
8 12 64357 565546 53353
9 12 60943 665946 60655
10 12 65825 755049 67957
11 12 67580 845493 74214
12 15 68755 933713 92983
13 9 58265 1024413 105549
14 12 62248 1074656 130681
15 12 61880 1165936 130681
16 12 68035 1246287 132102
17 15 70433 1329195 145130
18 9 66019 1419315 145130
19 15 68465 1467252 179167
20 9 66600 1555766 179167
21 12 71138 1628410 179167
22 12 111087 1683839 179167
23 12 125858 1739998 194076
24 12 148690 1807431 199045
25 12 173196 1858735 207118
26 15 153535 1952188 235155
27 9 189943 1998892 235155
28 12 206155 2015599 279823
29 15 237492 2086301 285398
30 12 241056 2177213 285398
31 12 260809 2199405 327166
32 9 245298 2278986 346301
33 12 220474 2379048 346301
34 15 289719 2379077 369134
35 9 294831 2379150 453965
36 12 343491 2416421 453965
37 12 307501 2546518 453965
38 12 350653 2586997 453965
39 12 433320 2586997 453965
40 12 428045 2587083 545172
41 15 427285 2639392 601145
42 9 389791 2770537 601145
43 15 403750 2845208 601145
44 9 483567 2846079 601145
45 12 556402 2846080 601186
46 12 514867 2846206 728056
47 12 515034 2882794 784760
48 15 474347 3028091 784760
49 9 445012 3147057 784760
50 12 508131 3155854 784760
51 12 590257 3155854 784760
52 12 666947 3155864 791871
53 15 602471 3155979 953928
54 12 593372 3220689 1004119
55 12 553017 3353559 1004119
56 9 516403 3470710 1004119
57 12 546495 3512715 1004119
58 12 627562 3512715 1004119
59 12 710509 3512715 1004119
60 12 780931 3512731 1017873
61 12 698039 3512869 1186775
62 12 722620 3512882 1256792
63 12 783989 3548951 1256792
64 12 747070 3677288 1256792
65 12 705088 3809209 1256792
66 12 666413 3939095 1256792
67 12 706314 3979735 1256792
68 12 788863 3979735 1256792
69 15 881885 3979735 1256792
70 12 974334 3979735 1256792
71 12 967351 3979807 1346646
72 9 856475 3979945 1531992
73 12 883589 3979935 1587240
74 15 939723 4031116 1587240
75 9 901970 4159448 1587240
76 12 863565 4275491 1587240
77 12 822879 4407296 1587240
78 12 794715 4523413 1587240
79 12 859616 4540343 1587240
80 15 952006 4540343 1587240
81 9 1035679 4540343 1587240
82 12 1106823 4540343 1587240
83 12 1188153 4540343 1587240
84 12 1153016 4540422 1707025
85 12 1031275 4540519 1914013
86 12 1054961 4540505 1983470
87 12 1114849 4575289 1983470
88 12 1078127 4702484 1983470
89 12 1036325 4833179 1983470
90 12 994016 4965754 1983470
91 15 946366 5113021 1983470
92 12 950386 5201251 1983470
93 9 1022380 5201251 1983470
94 12 1091678 5201251 1983470
95 15 1181729 5201251 1983470
96 9 1261990 5201251 1983470
97 12 1334835 5201251 1983470
98 12 1405697 5201255 1991994
99 15 1317658 5201350 2174203
100 9 1193706 5201457 2383300
101 12 1206986 5201408 2450336
102 12 1267878 5236254 2450336
103 12 1228978 5362383 2450336
104 15 1181745 5510088 2450336
105 9 1138281 5641559 2450336
106 15 1096852 5772711 2450336
107 9 1053974 5904000 2450336
108 12 1074866 5951598 2450336
109 12 1155021 5951598 2450336
110 12 1235489 5951598 2450336
111 12 1314123 5951598 2450336
112 15 1405188 5951598 2450336
113 9 1487139 5951598 2450336
114 12 1556061 5951598 2450336
115 12 1599124 5951617 2488202
116 12 1489153 5951712 2683000
117 15 1359673 5951776 2908229
118 12 1392313 5951712 2980428
119 12 1423806 6013613 2980428
120 9 1388252 6127145 2980428
121 12 1348598 6241731 2980428
122 12 1305637 6373171 2980428
123 12 1263693 6503626 2980428
124 12 1220716 6635484 2980428
125 12 1183606 6761295 2980428
126 12 1223389 6796469 2980428
127 12 1304598 6796469 2980428
128 12 1384427 6796469 2980428
129 12 1459199 6796469 2980428
130 12 1543095 6796469 2980428
131 12 1620499 6796469 2980428
132 12 1702721 6796469 2980428
133 15 1789666 6796469 2980428
134 9 1795340 6796520 3057037
135 12 1685897 6796586 3238858
136 12 1560747 6796658 3448410
137 12 1522012 6796605 3576080
138 12 1619204 6796605 3576080
139 12 1679955 6830012 3576080
140 12 1641541 6955164 3576080
141 12 1599658 7084805 3576080
142 12 1554746 7215849 3576080
143 12 1513182 7345814 3576080
144 12 1469502 7475870 3576080
145 12 1426794 7606584 3576080
146 12 1384015 7736858 3576080
147 15 1417956 7788600 3576080
148 9 1496250 7788600 3576080
149 12 1568857 7788600 3576080
150 12 1645822 7788600 3576080
151 12 1721684 7788600 3576080
152 12 1806177 7788600 3576080
153 12 1884043 7788600 3576080
154 12 1965586 7788600 3576080
155 12 2044113 7788600 3576080
156 12 2117969 7788602 3580033
157 15 2044076 7788669 3746809
158 12 1905669 7788752 3979251
159 12 1783478 7788816 4185887
160 12 1783718 7788727 4275240
161 9 1868517 7788727 4275240
162 12 1916703 7822097 4275240
163 12 1878105 7945455 4275240
164 15 1830690 8091316 4275240
165 9 1785507 8220655 4275240
166 12 1747473 8335129 4275240
167 15 1697030 8482083 4275240
168 12 1647442 8628311 4275240
169 9 1609322 8741925 4275240
170 12 1570672 8855106 4275240
171 12 1583447 8921224 4275240
172 12 1655998 8921224 4275240
173 12 1739492 8921224 4275240
174 12 1820396 8921224 4275240
175 12 1891719 8921224 4275240
