0 3 12385 3243 
201 9 1972481 10732278 5023561
202 15 2046733 10732278 5023561
203 9 2128034 10732278 5023561
204 15 2212200 10732278 5023561
205 12 2297423 10732278 5023561
206 12 2370414 10732278 5023561
207 12 2453015 10732278 5023561
208 12 2537283 10732278 5023561
209 12 2618064 10732278 5023561
210 9 2683983 10732278 5023561
211 15 2767605 10732278 5023561
212 9 2844665 10732278 5023561
213 15 2922065 10732278 5023561
214 12 2997052 10732280 5037324
215 12 2910807 10732325 5205585
216 12 2789671 10732378 5411199
217 9 2682394 10732414 5591220
218 12 2575316 10732462 5772078
219 15 2471373 10732442 5971945
220 9 2535451 10732355 6002312
221 15 2629916 10733125 6002312
222 9 2653171 10801133 6002312
223 12 2615407 10914509 6002312
224 15 2567168 11058991 6002312
225 12 2519617 11204098 6002312
226 9 2480588 11317190 6002312
227 12 2443925 11430983 6002312
228 15 2395328 11575723 6002312
229 9 2351876 11704739 6002312
230 15 2306981 11834110 6002312
231 12 2257258 11979496 6002312
232 12 2213948 12108569 6002312
233 9 2173585 12221005 6002312
234 15 2175662 12298944 6002312
235 9 2244538 12301979 6002312
236 15 2318375 12301979 6002312
237 9 2400998 12301979 6002312
238 15 2482021 12301979 6002312
239 12 2571694 12301979 6002312
240 12 2641492 12301979 6002312
241 12 2715640 12301979 6002312
242 12 2799125 12301979 6002312
243 9 2871765 12301979 6002312
244 15 2951580 12301979 6002312
245 9 3024179 12301979 6002312
246 15 3106701 12301979 6002312
247 9 3184796 12301979 6002312
248 15 3260065 12301979 6002312
249 9 3334971 12301979 6002312
250 15 3411512 12301979 6002312
251 9 3411337 12301997 6082192
252 12 3305041 12302032 6260417
253 15 3167770 12302081 6489341
254 9 3046155 12302127 6694284
255 15 2925066 12302159 6897172
256 12 2828528 12302089 7088571
257 9 2895445 12301993 7102738
258 12 2980252 12301993 7102738
259 12 3017643 12353857 7102738
260 12 2973483 12481764 7102738
261 12 2929346 12609324 7102738
262 15 2878922 12753885 7102738
