NOTICE:  table "hottail" does not exist, skipping
DROP TABLE
CREATE TABLE
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE EXTENSION
CREATE EXTENSION
1727268739 pages; 0  page_time: 1.00000000000000000000
1727268846 pages; 220022  page_time: 0.00048828125000000000

1727268847 pages; 222238  page_time: 0.00048828125000000000

1727268848 pages; 224523  page_time: 0.00048828125000000000

1727268849 pages; 226764  page_time: 0.00048828125000000000

1727268850 pages; 229023  page_time: 0.00048828125000000000

1727268851 pages; 231255  page_time: 0.00048828125000000000

1727268852 pages; 233483  page_time: 0.00048828125000000000

1727268853 pages; 235749  page_time: 0.00048828125000000000

1727268854 pages; 237983  page_time: 0.00048828125000000000

1727268855 pages; 240108  page_time: 0.00048828125000000000

1727268856 pages; 242238  page_time: 0.00048828125000000000

1727268857 pages; 244400  page_time: 0.00048828125000000000

1727268858 pages; 246552  page_time: 0.00048828125000000000

1727268859 pages; 248709  page_time: 0.00048828125000000000

1727268860 pages; 250846  page_time: 0.00048828125000000000

1727268861 pages; 253045  page_time: 0.00048828125000000000

1727268862 pages; 255229  page_time: 0.00048828125000000000

1727268863 pages; 257423  page_time: 0.00048828125000000000

1727268864 pages; 259561  page_time: 0.00048828125000000000

1727268865 pages; 261754  page_time: 0.00048828125000000000

1727268866 pages; 263947  page_time: 0.00048828125000000000

1727268867 pages; 266079  page_time: 0.00048828125000000000

1727268868 pages; 268233  page_time: 0.00048828125000000000

1727268869 pages; 268660  page_time: 0.00048828125000000000

1727268870 pages; 270454  page_time: 0.00048828125000000000

1727268871 pages; 272603  page_time: 0.00048828125000000000

1727268873 pages; 274760  page_time: 0.00048828125000000000

1727268874 pages; 276905  page_time: 0.00048828125000000000

1727268875 pages; 279064  page_time: 0.00048828125000000000

1727268876 pages; 281251  page_time: 0.00048828125000000000

1727268877 pages; 283383  page_time: 0.00048828125000000000

1727268878 pages; 285494  page_time: 0.00048828125000000000

1727268879 pages; 287700  page_time: 0.00048828125000000000

1727268880 pages; 289865  page_time: 0.00048828125000000000

1727268881 pages; 292005  page_time: 0.00048828125000000000

1727268882 pages; 294159  page_time: 0.00048828125000000000

1727268883 pages; 296328  page_time: 0.00048828125000000000

1727268884 pages; 298110  page_time: 0.00048828125000000000

1727268885 pages; 299675  page_time: 0.00048828125000000000

1727268886 pages; 301527  page_time: 0.00048828125000000000

1727268887 pages; 303479  page_time: 0.00048828125000000000

1727268888 pages; 305080  page_time: 0.00048828125000000000

1727268889 pages; 306679  page_time: 0.00048828125000000000

1727268890 pages; 308446  page_time: 0.00048828125000000000

1727268891 pages; 310103  page_time: 0.00048828125000000000

1727268892 pages; 312076  page_time: 0.00048828125000000000

1727268893 pages; 314112  page_time: 0.00048828125000000000

1727268894 pages; 316262  page_time: 0.00048828125000000000

1727268895 pages; 318464  page_time: 0.00048828125000000000

1727268896 pages; 320675  page_time: 0.00048828125000000000

1727268897 pages; 322907  page_time: 0.00048828125000000000

1727268898 pages; 325113  page_time: 0.00048828125000000000

1727268899 pages; 327318  page_time: 0.00048828125000000000

1727268900 pages; 329509  page_time: 0.00048828125000000000

1727268901 pages; 329844  page_time: 0.00048828125000000000

1727268902 pages; 331227  page_time: 0.00048828125000000000

1727268903 pages; 333368  page_time: 0.00048828125000000000

1727268904 pages; 335486  page_time: 0.00048828125000000000

1727268905 pages; 337612  page_time: 0.00048828125000000000

1727268906 pages; 339728  page_time: 0.00048828125000000000

1727268907 pages; 341866  page_time: 0.00048828125000000000

1727268908 pages; 344017  page_time: 0.00048828125000000000

1727268910 pages; 346243  page_time: 0.00048828125000000000

1727268911 pages; 348391  page_time: 0.00048828125000000000

1727268912 pages; 350526  page_time: 0.00048828125000000000

1727268913 pages; 352580  page_time: 0.00048828125000000000

1727268914 pages; 354717  page_time: 0.00048828125000000000

1727268915 pages; 356830  page_time: 0.00048828125000000000

1727268916 pages; 358980  page_time: 0.00048828125000000000

1727268917 pages; 361112  page_time: 0.00048828125000000000

1727268918 pages; 363207  page_time: 0.00048828125000000000

1727268919 pages; 365315  page_time: 0.00048828125000000000

1727268920 pages; 367395  page_time: 0.00048828125000000000

1727268921 pages; 369500  page_time: 0.00048828125000000000

1727268922 pages; 371594  page_time: 0.00048828125000000000

1727268923 pages; 373735  page_time: 0.00048828125000000000

1727268924 pages; 375796  page_time: 0.00048828125000000000

1727268925 pages; 377907  page_time: 0.00048828125000000000

1727268926 pages; 380061  page_time: 0.00048828125000000000

1727268927 pages; 382124  page_time: 0.00048828125000000000

1727268928 pages; 384243  page_time: 0.00048828125000000000

1727268929 pages; 386316  page_time: 0.00048828125000000000

1727268930 pages; 388429  page_time: 0.00048828125000000000

1727268931 pages; 390508  page_time: 0.00048828125000000000

1727268932 pages; 392618  page_time: 0.00048828125000000000
1727268934 pages; 393588  page_time: 0.00048828125000000000

1727268935 pages; 395647  page_time: 0.00048828125000000000

1727268936 pages; 397649  page_time: 0.00048828125000000000

1727268937 pages; 399651  page_time: 0.00048828125000000000

1727268938 pages; 401688  page_time: 0.00048828125000000000

1727268939 pages; 403737  page_time: 0.00048828125000000000

1727268940 pages; 405770  page_time: 0.00048828125000000000

1727268941 pages; 407852  page_time: 0.00048828125000000000

1727268942 pages; 410017  page_time: 0.00048828125000000000

1727268943 pages; 412120  page_time: 0.00048828125000000000

1727268944 pages; 414152  page_time: 0.00048828125000000000

1727268945 pages; 415984  page_time: 0.00048828125000000000

1727268946 pages; 417806  page_time: 0.00048828125000000000

1727268947 pages; 419674  page_time: 0.00048828125000000000

1727268948 pages; 421557  page_time: 0.00048828125000000000

1727268949 pages; 423410  page_time: 0.00048828125000000000

1727268950 pages; 425307  page_time: 0.00048828125000000000

1727268951 pages; 427106  page_time: 0.00048828125000000000

1727268952 pages; 428912  page_time: 0.00048828125000000000

1727268953 pages; 430613  page_time: 0.00048828125000000000

1727268954 pages; 432524  page_time: 0.00048828125000000000

1727268955 pages; 434543  page_time: 0.00048828125000000000

1727268956 pages; 436158  page_time: 0.00048828125000000000

1727268957 pages; 438200  page_time: 0.00048828125000000000

1727268958 pages; 440333  page_time: 0.00048828125000000000

1727268959 pages; 441348  page_time: 0.00048828125000000000

1727268960 pages; 442134  page_time: 0.00048828125000000000

1727268961 pages; 443996  page_time: 0.00048828125000000000

1727268962 pages; 446080  page_time: 0.00048828125000000000

1727268963 pages; 448172  page_time: 0.00048828125000000000

1727268964 pages; 450149  page_time: 0.00048828125000000000

1727268965 pages; 451930  page_time: 0.00048828125000000000

1727268966 pages; 453999  page_time: 0.00048828125000000000

1727268967 pages; 456058  page_time: 0.00048828125000000000

1727268968 pages; 458153  page_time: 0.00048828125000000000

1727268969 pages; 460273  page_time: 0.00048828125000000000

1727268971 pages; 462409  page_time: 0.00048828125000000000

1727268972 pages; 464544  page_time: 0.00048828125000000000

1727268973 pages; 466594  page_time: 0.00048828125000000000

1727268974 pages; 468628  page_time: 0.00048828125000000000

1727268975 pages; 470668  page_time: 0.00048828125000000000

1727268976 pages; 472327  page_time: 0.00048828125000000000

1727268977 pages; 474333  page_time: 0.00048828125000000000

1727268978 pages; 476364  page_time: 0.00048828125000000000

1727268979 pages; 478406  page_time: 0.00048828125000000000

1727268980 pages; 480403  page_time: 0.00048828125000000000

1727268981 pages; 482466  page_time: 0.00048828125000000000

1727268982 pages; 484538  page_time: 0.00048828125000000000

1727268983 pages; 486588  page_time: 0.00048828125000000000

1727268984 pages; 488705  page_time: 0.00048828125000000000

1727268985 pages; 490726  page_time: 0.00048828125000000000

1727268986 pages; 492775  page_time: 0.00048828125000000000

1727268987 pages; 494855  page_time: 0.00048828125000000000

1727268988 pages; 496916  page_time: 0.00048828125000000000

1727268989 pages; 498947  page_time: 0.00048828125000000000

1727268990 pages; 500983  page_time: 0.00048828125000000000

1727268991 pages; 503011  page_time: 0.00048828125000000000

1727268992 pages; 504974  page_time: 0.00048828125000000000

1727268993 pages; 507067  page_time: 0.00048828125000000000

1727268994 pages; 509038  page_time: 0.00048828125000000000

1727268995 pages; 511150  page_time: 0.00048828125000000000

1727268996 pages; 513191  page_time: 0.00048828125000000000
1727268998 pages; 514166  page_time: 0.00048828125000000000

1727268999 pages; 516205  page_time: 0.00048828125000000000

1727269000 pages; 518178  page_time: 0.00048828125000000000

1727269001 pages; 520171  page_time: 0.00048828125000000000

1727269002 pages; 522140  page_time: 0.00048828125000000000

1727269003 pages; 524150  page_time: 0.00048828125000000000

1727269004 pages; 525608  page_time: 0.00048828125000000000

1727269005 pages; 527162  page_time: 0.00048828125000000000

1727269006 pages; 528937  page_time: 0.00048828125000000000

1727269007 pages; 530313  page_time: 0.00048828125000000000

1727269008 pages; 531903  page_time: 0.00048828125000000000

1727269009 pages; 533401  page_time: 0.00048828125000000000

1727269010 pages; 534799  page_time: 0.00048828125000000000

1727269011 pages; 536383  page_time: 0.00048828125000000000

1727269012 pages; 537929  page_time: 0.00048828125000000000

1727269013 pages; 539404  page_time: 0.00048828125000000000

1727269014 pages; 540974  page_time: 0.00048828125000000000

1727269015 pages; 542496  page_time: 0.00048828125000000000

1727269016 pages; 544044  page_time: 0.00048828125000000000

1727269017 pages; 545807  page_time: 0.00048828125000000000

1727269018 pages; 547828  page_time: 0.00048828125000000000

1727269020 pages; 549727  page_time: 0.00048828125000000000

1727269021 pages; 551343  page_time: 0.00048828125000000000

1727269022 pages; 553150  page_time: 0.00048828125000000000

1727269023 pages; 555142  page_time: 0.00048828125000000000

1727269024 pages; 557184  page_time: 0.00048828125000000000

1727269025 pages; 559155  page_time: 0.00048828125000000000

1727269026 pages; 561164  page_time: 0.00048828125000000000

1727269027 pages; 563229  page_time: 0.00048828125000000000

1727269028 pages; 565222  page_time: 0.00048828125000000000

1727269029 pages; 566918  page_time: 0.00048828125000000000

1727269030 pages; 567937  page_time: 0.00048828125000000000

1727269031 pages; 569997  page_time: 0.00048828125000000000

1727269032 pages; 572030  page_time: 0.00048828125000000000

1727269033 pages; 574107  page_time: 0.00048828125000000000

1727269034 pages; 576168  page_time: 0.00048828125000000000

1727269035 pages; 577246  page_time: 0.00048828125000000000

1727269036 pages; 578951  page_time: 0.00048828125000000000

1727269037 pages; 580962  page_time: 0.00048828125000000000

1727269038 pages; 582968  page_time: 0.00048828125000000000

1727269039 pages; 584948  page_time: 0.00048828125000000000

1727269040 pages; 586922  page_time: 0.00048828125000000000

1727269041 pages; 588928  page_time: 0.00048828125000000000

1727269042 pages; 590928  page_time: 0.00048828125000000000

1727269043 pages; 592886  page_time: 0.00048828125000000000

1727269044 pages; 594856  page_time: 0.00048828125000000000

1727269045 pages; 596851  page_time: 0.00048828125000000000

1727269046 pages; 598856  page_time: 0.00048828125000000000

1727269047 pages; 600754  page_time: 0.00048828125000000000

1727269048 pages; 602830  page_time: 0.00048828125000000000

1727269049 pages; 604884  page_time: 0.00048828125000000000

1727269050 pages; 606902  page_time: 0.00048828125000000000

1727269051 pages; 608960  page_time: 0.00048828125000000000

1727269052 pages; 611063  page_time: 0.00048828125000000000

1727269053 pages; 613113  page_time: 0.00048828125000000000

1727269054 pages; 615128  page_time: 0.00048828125000000000

1727269055 pages; 617070  page_time: 0.00048828125000000000

1727269056 pages; 618691  page_time: 0.00048828125000000000

1727269057 pages; 620753  page_time: 0.00048828125000000000

1727269059 pages; 622772  page_time: 0.00048828125000000000

1727269060 pages; 624744  page_time: 0.00048828125000000000

1727269061 pages; 626784  page_time: 0.00048828125000000000

1727269062 pages; 628325  page_time: 0.00048828125000000000

1727269063 pages; 630363  page_time: 0.00048828125000000000

1727269064 pages; 632284  page_time: 0.00048828125000000000

1727269065 pages; 634183  page_time: 0.00048828125000000000

1727269066 pages; 636012  page_time: 0.00048828125000000000
1727269067 pages; 637127  page_time: 0.00048828125000000000

1727269068 pages; 638625  page_time: 0.00048828125000000000

1727269069 pages; 640323  page_time: 0.00048828125000000000

1727269070 pages; 642108  page_time: 0.00048828125000000000

1727269071 pages; 643608  page_time: 0.00048828125000000000

1727269072 pages; 645068  page_time: 0.00048828125000000000

1727269073 pages; 646910  page_time: 0.00048828125000000000

1727269074 pages; 648542  page_time: 0.00048828125000000000

1727269075 pages; 650093  page_time: 0.00048828125000000000

1727269076 pages; 651892  page_time: 0.00048828125000000000

1727269077 pages; 653581  page_time: 0.00048828125000000000

1727269078 pages; 655166  page_time: 0.00048828125000000000

1727269079 pages; 656879  page_time: 0.00048828125000000000

1727269080 pages; 658748  page_time: 0.00048828125000000000

1727269081 pages; 660459  page_time: 0.00048828125000000000

1727269082 pages; 662345  page_time: 0.00048828125000000000

1727269083 pages; 664451  page_time: 0.00048828125000000000

1727269084 pages; 666446  page_time: 0.00048828125000000000

1727269085 pages; 668523  page_time: 0.00048828125000000000

1727269086 pages; 670266  page_time: 0.00048828125000000000

1727269087 pages; 671413  page_time: 0.00048828125000000000

1727269088 pages; 673419  page_time: 0.00048828125000000000

1727269089 pages; 675455  page_time: 0.00048828125000000000

1727269091 pages; 677503  page_time: 0.00048828125000000000

1727269092 pages; 679652  page_time: 0.00048828125000000000

