pgbench: setting random seed to 0
pgbench (18devel)
progress: 1727268744.514 s, 441.4 tps, lat 9.052 ms stddev 3.985, 0 failed
progress: 1727268749.514 s, 970.6 tps, lat 4.120 ms stddev 0.778, 0 failed
progress: 1727268754.514 s, 966.8 tps, lat 4.137 ms stddev 0.748, 0 failed
progress: 1727268759.514 s, 958.0 tps, lat 4.175 ms stddev 0.776, 0 failed
progress: 1727268764.514 s, 934.6 tps, lat 4.281 ms stddev 0.854, 0 failed
progress: 1727268769.514 s, 902.2 tps, lat 4.433 ms stddev 0.959, 0 failed
progress: 1727268774.514 s, 672.4 tps, lat 5.947 ms stddev 13.189, 0 failed
progress: 1727268779.514 s, 951.8 tps, lat 4.202 ms stddev 0.830, 0 failed
progress: 1727268784.514 s, 946.0 tps, lat 4.228 ms stddev 0.821, 0 failed
progress: 1727268789.514 s, 939.6 tps, lat 4.256 ms stddev 0.885, 0 failed
progress: 1727268794.514 s, 948.4 tps, lat 4.217 ms stddev 0.828, 0 failed
progress: 1727268799.514 s, 940.6 tps, lat 4.254 ms stddev 0.853, 0 failed
progress: 1727268804.514 s, 937.4 tps, lat 4.264 ms stddev 0.902, 0 failed
progress: 1727268809.514 s, 717.0 tps, lat 5.577 ms stddev 10.811, 0 failed
progress: 1727268814.514 s, 941.2 tps, lat 4.252 ms stddev 0.877, 0 failed
progress: 1727268819.514 s, 929.8 tps, lat 4.301 ms stddev 0.920, 0 failed
progress: 1727268824.514 s, 903.8 tps, lat 4.425 ms stddev 0.970, 0 failed
progress: 1727268829.514 s, 815.2 tps, lat 4.906 ms stddev 1.170, 0 failed
progress: 1727268834.514 s, 899.2 tps, lat 4.449 ms stddev 1.018, 0 failed
progress: 1727268839.514 s, 723.8 tps, lat 5.524 ms stddev 9.185, 0 failed
progress: 1727268844.514 s, 934.4 tps, lat 4.280 ms stddev 0.925, 0 failed
progress: 1727268849.514 s, 929.4 tps, lat 4.303 ms stddev 0.977, 0 failed
progress: 1727268854.514 s, 932.8 tps, lat 4.288 ms stddev 0.873, 0 failed
progress: 1727268859.514 s, 885.4 tps, lat 4.517 ms stddev 1.109, 0 failed
progress: 1727268864.514 s, 900.4 tps, lat 4.442 ms stddev 1.053, 0 failed
progress: 1727268869.514 s, 821.0 tps, lat 4.848 ms stddev 5.034, 0 failed
