NOTICE:  database "test" does not exist, skipping
NOTICE:  table "hottail" does not exist, skipping
DROP TABLE
CREATE TABLE
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE EXTENSION
CREATE EXTENSION
1727304909 pages; 0  page_time: 1.00000000000000000000

1727304910 pages; 1353  page_time: 0.00073909830007390983

1727304911 pages; 2327  page_time: 0.00048828125000000000

1727304912 pages; 3117  page_time: 0.00048828125000000000

1727304913 pages; 3788  page_time: 0.00048828125000000000

1727304914 pages; 4399  page_time: 0.00048828125000000000

1727304915 pages; 4957  page_time: 0.00048828125000000000

1727304916 pages; 5466  page_time: 0.00048828125000000000

1727304917 pages; 5950  page_time: 0.00048828125000000000

1727304918 pages; 6404  page_time: 0.00048828125000000000

1727304919 pages; 6840  page_time: 0.00048828125000000000

1727304920 pages; 7246  page_time: 0.00048828125000000000

1727304921 pages; 7632  page_time: 0.00048828125000000000

1727304922 pages; 8009  page_time: 0.00048828125000000000

1727304923 pages; 8381  page_time: 0.00048828125000000000

1727304924 pages; 8734  page_time: 0.00048828125000000000

1727304925 pages; 9077  page_time: 0.00048828125000000000

1727304926 pages; 9400  page_time: 0.00048828125000000000

1727304928 pages; 9727  page_time: 0.00048828125000000000

1727304929 pages; 10034  page_time: 0.00048828125000000000

1727304930 pages; 10338  page_time: 0.00048828125000000000

1727304931 pages; 10635  page_time: 0.00048828125000000000

1727304932 pages; 10923  page_time: 0.00048828125000000000

1727304933 pages; 11208  page_time: 0.00048828125000000000

1727304934 pages; 11487  page_time: 0.00048828125000000000

1727304935 pages; 11768  page_time: 0.00048828125000000000

1727304936 pages; 12036  page_time: 0.00048828125000000000

1727304937 pages; 12300  page_time: 0.00048828125000000000

1727304938 pages; 12554  page_time: 0.00048828125000000000

1727304939 pages; 12803  page_time: 0.00048828125000000000

1727304940 pages; 13054  page_time: 0.00048828125000000000

1727304941 pages; 13297  page_time: 0.00048828125000000000

1727304942 pages; 13543  page_time: 0.00048828125000000000

1727304943 pages; 13760  page_time: 0.00048828125000000000

1727304944 pages; 14003  page_time: 0.00048828125000000000

1727304945 pages; 14234  page_time: 0.00048828125000000000

1727304946 pages; 14458  page_time: 0.00048828125000000000

1727304947 pages; 14684  page_time: 0.00048828125000000000

1727304948 pages; 14900  page_time: 0.00048828125000000000

1727304949 pages; 15118  page_time: 0.00048828125000000000

1727304951 pages; 15338  page_time: 0.00048828125000000000

1727304952 pages; 15550  page_time: 0.00048828125000000000

1727304953 pages; 15766  page_time: 0.00048828125000000000

1727304954 pages; 15973  page_time: 0.00048828125000000000

1727304955 pages; 16187  page_time: 0.00048828125000000000

1727304956 pages; 16389  page_time: 0.00048828125000000000

1727304957 pages; 16595  page_time: 0.00048828125000000000

1727304958 pages; 16793  page_time: 0.00048828125000000000

1727304959 pages; 16994  page_time: 0.00048828125000000000

1727304960 pages; 17188  page_time: 0.00048828125000000000

1727304961 pages; 17380  page_time: 0.00048828125000000000

1727304962 pages; 17577  page_time: 0.00048828125000000000

1727304963 pages; 17768  page_time: 0.00048828125000000000

1727304964 pages; 17952  page_time: 0.00048828125000000000

1727304965 pages; 18134  page_time: 0.00048828125000000000

1727304966 pages; 18318  page_time: 0.00048828125000000000

1727304967 pages; 18504  page_time: 0.00048828125000000000

1727304968 pages; 18679  page_time: 0.00048828125000000000

1727304969 pages; 18856  page_time: 0.00048828125000000000

1727304970 pages; 19030  page_time: 0.00048828125000000000

1727304972 pages; 19210  page_time: 0.00048828125000000000

1727304973 pages; 19382  page_time: 0.00048828125000000000

1727304974 pages; 19546  page_time: 0.00048828125000000000

1727304975 pages; 19716  page_time: 0.00048828125000000000

1727304976 pages; 19890  page_time: 0.00048828125000000000

1727304977 pages; 20060  page_time: 0.00048828125000000000

1727304978 pages; 20230  page_time: 0.00048828125000000000

1727304979 pages; 20396  page_time: 0.00048828125000000000

1727304980 pages; 20566  page_time: 0.00048828125000000000

1727304981 pages; 20722  page_time: 0.00048828125000000000

1727304982 pages; 20886  page_time: 0.00048828125000000000

1727304983 pages; 21048  page_time: 0.00048828125000000000

1727304984 pages; 21205  page_time: 0.00048828125000000000

1727304985 pages; 21362  page_time: 0.00048828125000000000

1727304986 pages; 21520  page_time: 0.00048828125000000000

1727304987 pages; 21680  page_time: 0.00048828125000000000

1727304988 pages; 21836  page_time: 0.00048828125000000000

1727304989 pages; 21990  page_time: 0.00048828125000000000

1727304990 pages; 22146  page_time: 0.00048828125000000000

1727304991 pages; 22302  page_time: 0.00048828125000000000

1727304993 pages; 22457  page_time: 0.00048828125000000000

1727304994 pages; 22605  page_time: 0.00048828125000000000

1727304995 pages; 22754  page_time: 0.00048828125000000000

1727304996 pages; 22906  page_time: 0.00048828125000000000

1727304997 pages; 23050  page_time: 0.00048828125000000000

1727304998 pages; 23202  page_time: 0.00048828125000000000

1727304999 pages; 23347  page_time: 0.00048828125000000000

1727305000 pages; 23498  page_time: 0.00048828125000000000

1727305001 pages; 23644  page_time: 0.00048828125000000000

1727305002 pages; 23788  page_time: 0.00048828125000000000

1727305003 pages; 23930  page_time: 0.00048828125000000000

1727305004 pages; 24070  page_time: 0.00048828125000000000

1727305005 pages; 24211  page_time: 0.00048828125000000000

1727305006 pages; 24347  page_time: 0.00048828125000000000

1727305007 pages; 24489  page_time: 0.00048828125000000000

1727305008 pages; 24630  page_time: 0.00048828125000000000

1727305009 pages; 24766  page_time: 0.00048828125000000000

1727305010 pages; 24904  page_time: 0.00048828125000000000

1727305011 pages; 25042  page_time: 0.00048828125000000000

1727305012 pages; 25180  page_time: 0.00048828125000000000

1727305013 pages; 25315  page_time: 0.00048828125000000000

1727305015 pages; 25449  page_time: 0.00048828125000000000

1727305016 pages; 25587  page_time: 0.00048828125000000000

1727305017 pages; 25717  page_time: 0.00048828125000000000

1727305018 pages; 25850  page_time: 0.00048828125000000000

1727305019 pages; 25980  page_time: 0.00048828125000000000

1727305020 pages; 26116  page_time: 0.00048828125000000000

1727305021 pages; 26246  page_time: 0.00048828125000000000

1727305022 pages; 26380  page_time: 0.00048828125000000000

1727305023 pages; 26501  page_time: 0.00048828125000000000

1727305024 pages; 27608  page_time: 0.00048828125000000000

1727305025 pages; 29675  page_time: 0.00048828125000000000

1727305026 pages; 31726  page_time: 0.00048828125000000000

1727305027 pages; 33739  page_time: 0.00048828125000000000

1727305028 pages; 35796  page_time: 0.00048828125000000000

1727305029 pages; 37812  page_time: 0.00048828125000000000

1727305030 pages; 39821  page_time: 0.00048828125000000000

1727305031 pages; 41859  page_time: 0.00048828125000000000

1727305032 pages; 43876  page_time: 0.00048828125000000000

1727305033 pages; 45966  page_time: 0.00048828125000000000

1727305034 pages; 47988  page_time: 0.00048828125000000000

