pgbench: setting random seed to 0
pgbench (18devel)
progress: 1727305424.271 s, 780.0 tps, lat 5.125 ms stddev 3.055, 0 failed
progress: 1727305429.272 s, 806.2 tps, lat 4.965 ms stddev 1.337, 0 failed
progress: 1727305434.271 s, 806.8 tps, lat 4.958 ms stddev 1.408, 0 failed
progress: 1727305439.271 s, 812.0 tps, lat 4.925 ms stddev 1.338, 0 failed
progress: 1727305444.271 s, 724.0 tps, lat 5.522 ms stddev 1.905, 0 failed
progress: 1727305449.271 s, 562.0 tps, lat 7.112 ms stddev 5.022, 0 failed
progress: 1727305454.271 s, 569.8 tps, lat 7.027 ms stddev 3.892, 0 failed
progress: 1727305459.271 s, 585.0 tps, lat 6.832 ms stddev 3.900, 0 failed
progress: 1727305464.271 s, 679.8 tps, lat 5.884 ms stddev 2.312, 0 failed
progress: 1727305469.271 s, 753.8 tps, lat 5.308 ms stddev 1.613, 0 failed
progress: 1727305474.271 s, 804.6 tps, lat 4.971 ms stddev 1.325, 0 failed
progress: 1727305479.271 s, 786.2 tps, lat 5.088 ms stddev 1.917, 0 failed
progress: 1727305484.271 s, 763.6 tps, lat 5.238 ms stddev 2.167, 0 failed
progress: 1727305489.271 s, 698.0 tps, lat 5.730 ms stddev 5.392, 0 failed
progress: 1727305494.271 s, 798.2 tps, lat 5.010 ms stddev 1.445, 0 failed
progress: 1727305499.271 s, 789.4 tps, lat 5.066 ms stddev 1.470, 0 failed
progress: 1727305504.272 s, 752.5 tps, lat 5.316 ms stddev 1.505, 0 failed
progress: 1727305509.271 s, 624.5 tps, lat 6.403 ms stddev 2.592, 0 failed
progress: 1727305514.271 s, 608.0 tps, lat 6.572 ms stddev 2.623, 0 failed
progress: 1727305519.271 s, 648.6 tps, lat 6.172 ms stddev 2.437, 0 failed
progress: 1727305524.271 s, 584.0 tps, lat 6.852 ms stddev 3.795, 0 failed
progress: 1727305529.272 s, 691.9 tps, lat 5.778 ms stddev 2.805, 0 failed
progress: 1727305534.271 s, 802.3 tps, lat 4.984 ms stddev 1.311, 0 failed
progress: 1727305539.271 s, 811.6 tps, lat 4.932 ms stddev 1.237, 0 failed
progress: 1727305544.271 s, 786.2 tps, lat 5.086 ms stddev 1.411, 0 failed
progress: 1727305549.271 s, 777.8 tps, lat 5.141 ms stddev 1.729, 0 failed
progress: 1727305554.271 s, 736.4 tps, lat 5.432 ms stddev 2.703, 0 failed
progress: 1727305559.271 s, 783.8 tps, lat 5.102 ms stddev 1.399, 0 failed
progress: 1727305564.271 s, 691.6 tps, lat 5.782 ms stddev 2.059, 0 failed
progress: 1727305569.271 s, 543.0 tps, lat 7.366 ms stddev 4.656, 0 failed
progress: 1727305574.272 s, 595.2 tps, lat 6.721 ms stddev 2.912, 0 failed
progress: 1727305579.271 s, 570.8 tps, lat 7.007 ms stddev 3.393, 0 failed
progress: 1727305584.271 s, 552.4 tps, lat 7.241 ms stddev 3.935, 0 failed
progress: 1727305589.271 s, 624.8 tps, lat 6.400 ms stddev 2.377, 0 failed
progress: 1727305594.271 s, 763.8 tps, lat 5.236 ms stddev 2.087, 0 failed
progress: 1727305599.271 s, 718.2 tps, lat 5.570 ms stddev 3.027, 0 failed
progress: 1727305604.271 s, 763.6 tps, lat 5.238 ms stddev 1.460, 0 failed
progress: 1727305609.271 s, 770.8 tps, lat 5.188 ms stddev 1.459, 0 failed
progress: 1727305614.271 s, 765.8 tps, lat 5.221 ms stddev 2.520, 0 failed
progress: 1727305619.271 s, 715.0 tps, lat 5.596 ms stddev 3.451, 0 failed
progress: 1727305624.271 s, 735.6 tps, lat 5.435 ms stddev 1.586, 0 failed
progress: 1727305629.271 s, 588.2 tps, lat 6.800 ms stddev 2.720, 0 failed
progress: 1727305634.271 s, 584.6 tps, lat 6.841 ms stddev 3.283, 0 failed
progress: 1727305639.271 s, 610.2 tps, lat 6.558 ms stddev 2.362, 0 failed
progress: 1727305644.271 s, 576.0 tps, lat 6.943 ms stddev 3.305, 0 failed
progress: 1727305649.271 s, 565.8 tps, lat 7.067 ms stddev 5.383, 0 failed
progress: 1727305654.271 s, 712.8 tps, lat 5.613 ms stddev 1.734, 0 failed
progress: 1727305659.271 s, 773.8 tps, lat 5.168 ms stddev 1.962, 0 failed
progress: 1727305664.271 s, 782.8 tps, lat 5.108 ms stddev 1.412, 0 failed
progress: 1727305669.271 s, 697.8 tps, lat 5.733 ms stddev 5.819, 0 failed
progress: 1727305674.271 s, 783.4 tps, lat 5.100 ms stddev 1.582, 0 failed
progress: 1727305679.271 s, 746.8 tps, lat 5.364 ms stddev 2.562, 0 failed
progress: 1727305684.271 s, 657.4 tps, lat 6.081 ms stddev 2.242, 0 failed
progress: 1727305689.271 s, 569.4 tps, lat 7.024 ms stddev 2.850, 0 failed
progress: 1727305694.271 s, 532.4 tps, lat 7.513 ms stddev 3.670, 0 failed
progress: 1727305699.271 s, 565.4 tps, lat 7.075 ms stddev 2.877, 0 failed
progress: 1727305704.271 s, 550.0 tps, lat 7.271 ms stddev 3.681, 0 failed
progress: 1727305709.271 s, 557.0 tps, lat 7.172 ms stddev 2.872, 0 failed
progress: 1727305714.271 s, 640.0 tps, lat 6.259 ms stddev 4.028, 0 failed
progress: 1727305719.271 s, 742.6 tps, lat 5.386 ms stddev 2.059, 0 failed
progress: 1727305724.271 s, 728.4 tps, lat 5.490 ms stddev 2.137, 0 failed
progress: 1727305729.271 s, 713.8 tps, lat 5.602 ms stddev 3.037, 0 failed
progress: 1727305734.271 s, 680.8 tps, lat 5.877 ms stddev 3.535, 0 failed
progress: 1727305739.271 s, 721.8 tps, lat 5.542 ms stddev 2.076, 0 failed
progress: 1727305744.271 s, 711.0 tps, lat 5.624 ms stddev 1.801, 0 failed
progress: 1727305749.271 s, 565.4 tps, lat 7.072 ms stddev 2.838, 0 failed
progress: 1727305754.273 s, 576.0 tps, lat 6.943 ms stddev 3.346, 0 failed
progress: 1727305759.271 s, 526.6 tps, lat 7.601 ms stddev 4.709, 0 failed
progress: 1727305764.271 s, 537.4 tps, lat 7.439 ms stddev 5.376, 0 failed
progress: 1727305769.271 s, 556.8 tps, lat 7.182 ms stddev 3.415, 0 failed
progress: 1727305774.272 s, 614.5 tps, lat 6.510 ms stddev 2.464, 0 failed
progress: 1727305779.271 s, 712.9 tps, lat 5.612 ms stddev 1.746, 0 failed
progress: 1727305784.271 s, 742.2 tps, lat 5.386 ms stddev 1.747, 0 failed
progress: 1727305789.271 s, 734.4 tps, lat 5.445 ms stddev 2.160, 0 failed
progress: 1727305794.271 s, 735.4 tps, lat 5.443 ms stddev 4.140, 0 failed
progress: 1727305799.271 s, 738.4 tps, lat 5.413 ms stddev 2.084, 0 failed
progress: 1727305804.271 s, 735.2 tps, lat 5.441 ms stddev 1.455, 0 failed
progress: 1727305809.271 s, 567.8 tps, lat 7.043 ms stddev 2.840, 0 failed
progress: 1727305814.271 s, 492.2 tps, lat 8.129 ms stddev 10.561, 0 failed
progress: 1727305819.271 s, 584.4 tps, lat 6.841 ms stddev 2.536, 0 failed
progress: 1727305824.271 s, 576.8 tps, lat 6.938 ms stddev 3.703, 0 failed
progress: 1727305829.271 s, 569.2 tps, lat 7.028 ms stddev 2.752, 0 failed
progress: 1727305834.272 s, 574.0 tps, lat 6.967 ms stddev 3.077, 0 failed
progress: 1727305839.271 s, 612.2 tps, lat 6.535 ms stddev 3.144, 0 failed
progress: 1727305844.271 s, 731.4 tps, lat 5.466 ms stddev 1.566, 0 failed
progress: 1727305849.271 s, 733.2 tps, lat 5.456 ms stddev 2.002, 0 failed
progress: 1727305854.271 s, 650.8 tps, lat 6.144 ms stddev 6.014, 0 failed
progress: 1727305859.271 s, 722.6 tps, lat 5.535 ms stddev 1.621, 0 failed
progress: 1727305864.271 s, 673.4 tps, lat 5.940 ms stddev 2.276, 0 failed
progress: 1727305869.271 s, 561.0 tps, lat 7.133 ms stddev 2.921, 0 failed
progress: 1727305874.271 s, 561.0 tps, lat 7.117 ms stddev 2.968, 0 failed
progress: 1727305879.271 s, 546.4 tps, lat 7.328 ms stddev 3.553, 0 failed
progress: 1727305884.271 s, 498.0 tps, lat 8.024 ms stddev 5.915, 0 failed
progress: 1727305889.271 s, 559.0 tps, lat 7.164 ms stddev 2.778, 0 failed
progress: 1727305894.271 s, 567.8 tps, lat 7.043 ms stddev 3.580, 0 failed
progress: 1727305899.271 s, 609.6 tps, lat 6.562 ms stddev 2.592, 0 failed
progress: 1727305904.271 s, 632.4 tps, lat 6.315 ms stddev 4.698, 0 failed
progress: 1727305909.272 s, 746.6 tps, lat 5.366 ms stddev 1.564, 0 failed
progress: 1727305914.271 s, 725.2 tps, lat 5.513 ms stddev 1.932, 0 failed
progress: 1727305919.271 s, 667.6 tps, lat 5.992 ms stddev 3.483, 0 failed
progress: 1727305924.271 s, 712.6 tps, lat 5.612 ms stddev 1.627, 0 failed
progress: 1727305929.271 s, 569.6 tps, lat 7.020 ms stddev 3.090, 0 failed
progress: 1727305934.271 s, 580.0 tps, lat 6.898 ms stddev 2.769, 0 failed
progress: 1727305939.272 s, 519.2 tps, lat 7.707 ms stddev 4.801, 0 failed
progress: 1727305944.271 s, 550.8 tps, lat 7.260 ms stddev 3.366, 0 failed
progress: 1727305949.271 s, 564.6 tps, lat 7.085 ms stddev 3.348, 0 failed
progress: 1727305954.271 s, 587.8 tps, lat 6.804 ms stddev 2.409, 0 failed
progress: 1727305959.271 s, 588.4 tps, lat 6.797 ms stddev 2.695, 0 failed
