pgbench: setting random seed to 0
pgbench (18devel)
progress: 1727305183.797 s, 692.6 tps, lat 11.524 ms stddev 3.522, 0 failed
progress: 1727305188.797 s, 426.4 tps, lat 18.741 ms stddev 3.328, 0 failed
progress: 1727305193.797 s, 330.8 tps, lat 24.172 ms stddev 2.701, 0 failed
progress: 1727305198.797 s, 273.2 tps, lat 29.235 ms stddev 2.668, 0 failed
progress: 1727305203.797 s, 247.0 tps, lat 32.405 ms stddev 3.369, 0 failed
progress: 1727305208.797 s, 225.8 tps, lat 35.420 ms stddev 2.354, 0 failed
progress: 1727305213.797 s, 203.6 tps, lat 39.284 ms stddev 3.522, 0 failed
progress: 1727305218.797 s, 191.6 tps, lat 41.765 ms stddev 2.845, 0 failed
progress: 1727305223.797 s, 180.4 tps, lat 44.282 ms stddev 2.664, 0 failed
progress: 1727305228.797 s, 167.8 tps, lat 47.676 ms stddev 3.434, 0 failed
progress: 1727305233.797 s, 160.6 tps, lat 49.749 ms stddev 3.549, 0 failed
progress: 1727305238.797 s, 154.4 tps, lat 51.846 ms stddev 3.242, 0 failed
progress: 1727305243.797 s, 146.8 tps, lat 54.472 ms stddev 4.961, 0 failed
progress: 1727305248.797 s, 142.8 tps, lat 56.061 ms stddev 2.981, 0 failed
progress: 1727305253.797 s, 139.2 tps, lat 57.266 ms stddev 2.995, 0 failed
progress: 1727305258.796 s, 133.6 tps, lat 60.080 ms stddev 3.588, 0 failed
progress: 1727305263.796 s, 128.2 tps, lat 62.315 ms stddev 3.523, 0 failed
progress: 1727305268.797 s, 126.4 tps, lat 63.331 ms stddev 3.352, 0 failed
progress: 1727305273.797 s, 121.2 tps, lat 66.234 ms stddev 5.386, 0 failed
progress: 1727305278.797 s, 119.2 tps, lat 67.071 ms stddev 2.959, 0 failed
progress: 1727305283.797 s, 115.4 tps, lat 69.249 ms stddev 3.354, 0 failed
progress: 1727305288.797 s, 112.0 tps, lat 71.044 ms stddev 5.242, 0 failed
progress: 1727305293.796 s, 609.6 tps, lat 13.239 ms stddev 18.975, 0 failed
progress: 1727305298.797 s, 1077.2 tps, lat 7.430 ms stddev 3.232, 0 failed
progress: 1727305303.796 s, 1022.0 tps, lat 7.831 ms stddev 3.705, 0 failed
progress: 1727305308.796 s, 1126.2 tps, lat 7.104 ms stddev 3.215, 0 failed
progress: 1727305313.797 s, 1152.4 tps, lat 6.939 ms stddev 3.356, 0 failed
progress: 1727305318.797 s, 1012.4 tps, lat 7.902 ms stddev 3.365, 0 failed
progress: 1727305323.796 s, 1017.6 tps, lat 7.857 ms stddev 3.370, 0 failed
progress: 1727305328.796 s, 1015.4 tps, lat 7.883 ms stddev 3.381, 0 failed
progress: 1727305333.796 s, 1129.0 tps, lat 7.085 ms stddev 3.432, 0 failed
progress: 1727305338.797 s, 1011.2 tps, lat 7.911 ms stddev 4.769, 0 failed
progress: 1727305343.796 s, 1083.0 tps, lat 7.379 ms stddev 3.234, 0 failed
progress: 1727305348.796 s, 1058.6 tps, lat 7.560 ms stddev 3.351, 0 failed
progress: 1727305353.796 s, 993.4 tps, lat 8.048 ms stddev 3.312, 0 failed
progress: 1727305358.797 s, 1010.2 tps, lat 7.924 ms stddev 4.390, 0 failed
progress: 1727305363.796 s, 1109.8 tps, lat 7.213 ms stddev 3.347, 0 failed
progress: 1727305368.796 s, 1021.6 tps, lat 7.822 ms stddev 4.288, 0 failed
progress: 1727305373.796 s, 1058.0 tps, lat 7.568 ms stddev 3.357, 0 failed
progress: 1727305378.797 s, 1067.0 tps, lat 7.489 ms stddev 3.199, 0 failed
progress: 1727305383.796 s, 1051.8 tps, lat 7.613 ms stddev 3.332, 0 failed
progress: 1727305388.797 s, 1054.2 tps, lat 7.585 ms stddev 4.414, 0 failed
progress: 1727305393.797 s, 1050.8 tps, lat 7.612 ms stddev 3.848, 0 failed
progress: 1727305398.797 s, 1088.8 tps, lat 7.348 ms stddev 3.353, 0 failed
progress: 1727305403.797 s, 1057.8 tps, lat 7.562 ms stddev 4.030, 0 failed
progress: 1727305408.796 s, 1074.2 tps, lat 7.450 ms stddev 3.347, 0 failed
progress: 1727305413.797 s, 1027.0 tps, lat 7.787 ms stddev 5.029, 0 failed
progress: 1727305418.797 s, 1036.2 tps, lat 7.722 ms stddev 3.378, 0 failed
progress: 1727305423.797 s, 919.0 tps, lat 8.698 ms stddev 6.709, 0 failed
progress: 1727305428.796 s, 1039.4 tps, lat 7.705 ms stddev 3.328, 0 failed
progress: 1727305433.796 s, 1035.4 tps, lat 7.724 ms stddev 5.398, 0 failed
progress: 1727305438.797 s, 1054.4 tps, lat 7.585 ms stddev 3.247, 0 failed
progress: 1727305443.796 s, 982.6 tps, lat 8.138 ms stddev 4.113, 0 failed
progress: 1727305448.796 s, 1055.8 tps, lat 7.580 ms stddev 3.403, 0 failed
progress: 1727305453.797 s, 1026.2 tps, lat 7.791 ms stddev 3.923, 0 failed
progress: 1727305458.797 s, 1055.6 tps, lat 7.582 ms stddev 3.335, 0 failed
progress: 1727305463.797 s, 990.8 tps, lat 8.070 ms stddev 5.756, 0 failed
progress: 1727305468.796 s, 922.4 tps, lat 8.674 ms stddev 8.368, 0 failed
progress: 1727305473.796 s, 1079.4 tps, lat 7.414 ms stddev 3.593, 0 failed
progress: 1727305478.797 s, 1047.8 tps, lat 7.630 ms stddev 3.315, 0 failed
progress: 1727305483.796 s, 1071.4 tps, lat 7.459 ms stddev 3.298, 0 failed
progress: 1727305488.797 s, 1101.2 tps, lat 7.273 ms stddev 3.355, 0 failed
progress: 1727305493.796 s, 1010.0 tps, lat 7.916 ms stddev 5.240, 0 failed
progress: 1727305498.797 s, 968.0 tps, lat 8.258 ms stddev 5.733, 0 failed
progress: 1727305503.797 s, 1085.4 tps, lat 7.377 ms stddev 3.890, 0 failed
progress: 1727305508.797 s, 1067.4 tps, lat 7.493 ms stddev 3.364, 0 failed
progress: 1727305513.796 s, 1051.8 tps, lat 7.610 ms stddev 5.529, 0 failed
progress: 1727305518.796 s, 1021.6 tps, lat 7.831 ms stddev 5.045, 0 failed
progress: 1727305523.796 s, 1078.8 tps, lat 7.413 ms stddev 3.351, 0 failed
progress: 1727305528.796 s, 1075.2 tps, lat 7.437 ms stddev 3.810, 0 failed
progress: 1727305533.797 s, 1005.0 tps, lat 7.963 ms stddev 4.976, 0 failed
progress: 1727305538.797 s, 1046.8 tps, lat 7.635 ms stddev 3.250, 0 failed
progress: 1727305543.796 s, 1006.4 tps, lat 7.956 ms stddev 5.138, 0 failed
progress: 1727305548.797 s, 1086.0 tps, lat 7.363 ms stddev 5.288, 0 failed
progress: 1727305553.797 s, 1086.4 tps, lat 7.362 ms stddev 3.273, 0 failed
progress: 1727305558.797 s, 1085.4 tps, lat 7.365 ms stddev 3.365, 0 failed
progress: 1727305563.796 s, 1051.8 tps, lat 7.618 ms stddev 4.444, 0 failed
progress: 1727305568.796 s, 989.6 tps, lat 8.077 ms stddev 6.315, 0 failed
progress: 1727305573.797 s, 983.8 tps, lat 8.132 ms stddev 5.164, 0 failed
progress: 1727305578.796 s, 1098.8 tps, lat 7.284 ms stddev 3.294, 0 failed
progress: 1727305583.797 s, 1069.6 tps, lat 7.474 ms stddev 3.368, 0 failed
progress: 1727305588.796 s, 1025.2 tps, lat 7.804 ms stddev 4.308, 0 failed
progress: 1727305593.797 s, 1025.8 tps, lat 7.796 ms stddev 3.631, 0 failed
progress: 1727305598.797 s, 906.8 tps, lat 8.797 ms stddev 6.697, 0 failed
progress: 1727305603.797 s, 1001.4 tps, lat 8.014 ms stddev 4.179, 0 failed
progress: 1727305608.797 s, 984.4 tps, lat 8.122 ms stddev 3.432, 0 failed
progress: 1727305613.796 s, 1005.6 tps, lat 7.955 ms stddev 3.459, 0 failed
progress: 1727305618.797 s, 1016.2 tps, lat 7.871 ms stddev 4.771, 0 failed
progress: 1727305623.796 s, 1033.0 tps, lat 7.748 ms stddev 3.470, 0 failed
progress: 1727305628.796 s, 978.6 tps, lat 8.169 ms stddev 4.499, 0 failed
progress: 1727305633.796 s, 975.4 tps, lat 8.208 ms stddev 4.275, 0 failed
progress: 1727305638.797 s, 1029.2 tps, lat 7.768 ms stddev 3.498, 0 failed
progress: 1727305643.796 s, 1015.2 tps, lat 7.884 ms stddev 3.271, 0 failed
progress: 1727305648.796 s, 1033.4 tps, lat 7.738 ms stddev 3.276, 0 failed
progress: 1727305653.797 s, 957.8 tps, lat 8.354 ms stddev 4.768, 0 failed
progress: 1727305658.797 s, 995.6 tps, lat 8.031 ms stddev 4.164, 0 failed
progress: 1727305663.797 s, 923.0 tps, lat 8.672 ms stddev 5.423, 0 failed
progress: 1727305668.797 s, 989.6 tps, lat 8.073 ms stddev 3.334, 0 failed
progress: 1727305673.796 s, 998.8 tps, lat 8.022 ms stddev 3.296, 0 failed
progress: 1727305678.797 s, 1008.0 tps, lat 7.919 ms stddev 3.956, 0 failed
progress: 1727305683.797 s, 1012.2 tps, lat 7.913 ms stddev 5.530, 0 failed
progress: 1727305688.796 s, 923.2 tps, lat 8.665 ms stddev 4.962, 0 failed
progress: 1727305693.796 s, 1035.0 tps, lat 7.731 ms stddev 3.311, 0 failed
progress: 1727305698.796 s, 1010.2 tps, lat 7.920 ms stddev 4.163, 0 failed
progress: 1727305703.796 s, 1020.6 tps, lat 7.839 ms stddev 3.311, 0 failed
progress: 1727305708.797 s, 1045.8 tps, lat 7.646 ms stddev 3.338, 0 failed
progress: 1727305713.797 s, 979.8 tps, lat 8.158 ms stddev 3.993, 0 failed
progress: 1727305718.797 s, 995.4 tps, lat 8.042 ms stddev 3.745, 0 failed
progress: 1727305723.797 s, 1037.6 tps, lat 7.709 ms stddev 3.399, 0 failed
progress: 1727305728.796 s, 956.4 tps, lat 8.369 ms stddev 4.747, 0 failed
progress: 1727305733.797 s, 983.4 tps, lat 8.130 ms stddev 3.655, 0 failed
progress: 1727305738.796 s, 905.6 tps, lat 8.835 ms stddev 6.305, 0 failed
progress: 1727305743.797 s, 1022.6 tps, lat 7.819 ms stddev 3.257, 0 failed
progress: 1727305748.796 s, 1062.6 tps, lat 7.526 ms stddev 3.345, 0 failed
progress: 1727305753.797 s, 1045.4 tps, lat 7.652 ms stddev 3.178, 0 failed
progress: 1727305758.796 s, 1038.6 tps, lat 7.707 ms stddev 3.458, 0 failed
progress: 1727305763.797 s, 898.0 tps, lat 8.907 ms stddev 6.670, 0 failed
progress: 1727305768.797 s, 1002.2 tps, lat 7.985 ms stddev 4.747, 0 failed
progress: 1727305773.797 s, 1001.6 tps, lat 7.983 ms stddev 3.699, 0 failed
progress: 1727305778.796 s, 970.8 tps, lat 8.244 ms stddev 4.096, 0 failed
progress: 1727305783.796 s, 959.6 tps, lat 8.333 ms stddev 3.420, 0 failed
progress: 1727305788.797 s, 1028.2 tps, lat 7.775 ms stddev 3.408, 0 failed
progress: 1727305793.797 s, 943.4 tps, lat 8.486 ms stddev 5.207, 0 failed
progress: 1727305798.797 s, 983.4 tps, lat 8.130 ms stddev 5.388, 0 failed
progress: 1727305803.797 s, 1013.6 tps, lat 7.898 ms stddev 3.542, 0 failed
progress: 1727305808.796 s, 1086.8 tps, lat 7.362 ms stddev 3.298, 0 failed
progress: 1727305813.796 s, 1047.6 tps, lat 7.635 ms stddev 4.463, 0 failed
progress: 1727305818.796 s, 1045.4 tps, lat 7.652 ms stddev 4.011, 0 failed
progress: 1727305823.797 s, 996.0 tps, lat 8.021 ms stddev 5.714, 0 failed
progress: 1727305828.797 s, 972.8 tps, lat 8.229 ms stddev 4.911, 0 failed
progress: 1727305833.796 s, 990.2 tps, lat 8.075 ms stddev 3.563, 0 failed
progress: 1727305838.796 s, 1002.2 tps, lat 7.984 ms stddev 5.175, 0 failed
progress: 1727305843.796 s, 1008.8 tps, lat 7.934 ms stddev 3.577, 0 failed
progress: 1727305848.796 s, 1047.6 tps, lat 7.623 ms stddev 5.097, 0 failed
progress: 1727305853.797 s, 1073.0 tps, lat 7.460 ms stddev 3.718, 0 failed
progress: 1727305858.796 s, 1038.0 tps, lat 7.716 ms stddev 4.227, 0 failed
progress: 1727305863.797 s, 993.6 tps, lat 8.048 ms stddev 5.402, 0 failed
progress: 1727305868.797 s, 1020.8 tps, lat 7.837 ms stddev 3.367, 0 failed
progress: 1727305873.797 s, 1024.0 tps, lat 7.810 ms stddev 3.476, 0 failed
progress: 1727305878.796 s, 982.6 tps, lat 8.145 ms stddev 4.888, 0 failed
progress: 1727305883.797 s, 1051.6 tps, lat 7.602 ms stddev 3.771, 0 failed
progress: 1727305888.796 s, 1032.8 tps, lat 7.746 ms stddev 3.478, 0 failed
progress: 1727305893.797 s, 1014.2 tps, lat 7.887 ms stddev 3.408, 0 failed
progress: 1727305898.796 s, 929.0 tps, lat 8.616 ms stddev 5.262, 0 failed
progress: 1727305903.797 s, 926.4 tps, lat 8.633 ms stddev 6.072, 0 failed
progress: 1727305908.797 s, 1002.2 tps, lat 7.979 ms stddev 3.477, 0 failed
