NOTICE:  database "test" does not exist, skipping
NOTICE:  table "hottail" does not exist, skipping
DROP TABLE
CREATE TABLE
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE EXTENSION
CREATE EXTENSION
1727305178 pages; 8  page_time: 0.12500000000000000000

1727305179 pages; 2055  page_time: 0.00048828125000000000

1727305180 pages; 3935  page_time: 0.00048828125000000000

1727305181 pages; 5519  page_time: 0.00048828125000000000

1727305182 pages; 7000  page_time: 0.00048828125000000000

1727305183 pages; 8338  page_time: 0.00048828125000000000

1727305184 pages; 9519  page_time: 0.00048828125000000000

1727305186 pages; 10561  page_time: 0.00048828125000000000

1727305187 pages; 11575  page_time: 0.00048828125000000000

1727305188 pages; 12532  page_time: 0.00048828125000000000

1727305189 pages; 13439  page_time: 0.00048828125000000000

1727305190 pages; 14288  page_time: 0.00048828125000000000

1727305191 pages; 15093  page_time: 0.00048828125000000000

1727305192 pages; 15881  page_time: 0.00048828125000000000

1727305193 pages; 16638  page_time: 0.00048828125000000000

1727305194 pages; 17362  page_time: 0.00048828125000000000

1727305195 pages; 18053  page_time: 0.00048828125000000000

1727305196 pages; 18714  page_time: 0.00048828125000000000

1727305197 pages; 19361  page_time: 0.00048828125000000000

1727305198 pages; 20005  page_time: 0.00048828125000000000

1727305199 pages; 20642  page_time: 0.00048828125000000000

1727305200 pages; 21239  page_time: 0.00048828125000000000

1727305201 pages; 21848  page_time: 0.00048828125000000000

1727305202 pages; 22430  page_time: 0.00048828125000000000

1727305203 pages; 23008  page_time: 0.00048828125000000000

1727305204 pages; 23574  page_time: 0.00048828125000000000

1727305205 pages; 24129  page_time: 0.00048828125000000000

1727305206 pages; 24683  page_time: 0.00048828125000000000

1727305207 pages; 25222  page_time: 0.00048828125000000000

1727305208 pages; 25755  page_time: 0.00048828125000000000

1727305209 pages; 26235  page_time: 0.00048828125000000000

1727305210 pages; 26732  page_time: 0.00048828125000000000

1727305211 pages; 27227  page_time: 0.00048828125000000000

1727305212 pages; 27726  page_time: 0.00048828125000000000

1727305213 pages; 28216  page_time: 0.00048828125000000000

1727305214 pages; 28703  page_time: 0.00048828125000000000

1727305215 pages; 29166  page_time: 0.00048828125000000000

1727305216 pages; 29616  page_time: 0.00048828125000000000

1727305217 pages; 30073  page_time: 0.00048828125000000000

1727305218 pages; 30529  page_time: 0.00048828125000000000

1727305219 pages; 30966  page_time: 0.00048828125000000000

1727305220 pages; 31404  page_time: 0.00048828125000000000

1727305221 pages; 31840  page_time: 0.00048828125000000000

1727305223 pages; 32277  page_time: 0.00048828125000000000

1727305224 pages; 32697  page_time: 0.00048828125000000000

1727305225 pages; 33102  page_time: 0.00048828125000000000

1727305226 pages; 33512  page_time: 0.00048828125000000000

1727305227 pages; 33925  page_time: 0.00048828125000000000

1727305228 pages; 34322  page_time: 0.00048828125000000000

